LCT,set_number,gamma_detection_method,alpha_detection_method,beta_detection_method,set_read_index,weight_total_kg,pabs_trawl,p_abs_eDNA
Allosmerus elongatus,12,only trawl,only trawl,only trawl,0,0.028,1,0
Alosa sapidissima,12,both eDNA/trawl,only eDNA,both eDNA/trawl,0.277052556963114,0,0,1
Alosa sapidissima,13,both eDNA/trawl,only eDNA,both eDNA/trawl,0.541733539068104,0,0,1
Alosa sapidissima,14,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.194,1,0
Alosa sapidissima,15,both eDNA/trawl,only eDNA,both eDNA/trawl,3.00303303493162,0,0,1
Anoplopoma fimbria,12,both eDNA/trawl,only eDNA,both eDNA/trawl,0.578337801786457,0,0,1
Anoplopoma fimbria,14,both eDNA/trawl,only eDNA,both eDNA/trawl,18.1689547162842,0,0,1
Anoplopoma fimbria,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.195886220983267,2.528,1,1
Anoplopoma fimbria,16,both eDNA/trawl,only eDNA,both eDNA/trawl,0.415399370766117,0,0,1
Anoplopoma fimbria,3,both eDNA/trawl,only eDNA,both eDNA/trawl,0.202888854396687,0,0,1
Anoplopoma fimbria,7,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.732,1,0
Anoplopoma fimbria,9,both eDNA/trawl,only eDNA,both eDNA/trawl,0.436156761983642,0,0,1
Beringraja binoculata,14,only eDNA,only eDNA,only eDNA,3,0,0,1
Citharichthys stigmaeus,12,only eDNA,only eDNA,only eDNA,0.524541920706915,0,0,1
Citharichthys stigmaeus,13,only eDNA,only eDNA,only eDNA,0.179575441975165,0,0,1
Clupea pallasii,1,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,29.2772429491729,0.028,1,1
Clupea pallasii,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,25.7594438854843,0.682,1,1
Clupea pallasii,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,20.4581868599338,2.698,1,1
Clupea pallasii,13,both eDNA/trawl,only trawl,both eDNA/trawl,0,2.901,1,0
Clupea pallasii,14,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,35.9378635403364,4.798,1,1
Clupea pallasii,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,75.8728806073788,7.899,1,1
Clupea pallasii,16,both eDNA/trawl,only eDNA,both eDNA/trawl,94.0467582284523,0,0,1
Clupea pallasii,2,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,46.6906815169542,0.027999999999999997,1,1
Clupea pallasii,3,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,102.556093116722,2.89,1,1
Clupea pallasii,4,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,105.775193340811,0.182,1,1
Clupea pallasii,5,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,18,0.02,1,1
Clupea pallasii,6,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,64.5496564647096,0.036000000000000004,1,1
Clupea pallasii,7,both eDNA/trawl,only eDNA,both eDNA/trawl,36,0,0,1
Clupea pallasii,8,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,97.832728770578,3.273,1,1
Clupea pallasii,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,96.2281231408721,3.488,1,1
Corphaenidoes sp,7,only trawl,only trawl,only trawl,0,0.002,1,0
Cryptacanthodes giganteus,12,only eDNA,only eDNA,only eDNA,3,0,0,1
Diaphus theta,11,only trawl,only trawl,only trawl,0,0.028,1,0
Diaphus theta,13,only trawl,only trawl,only trawl,0,0.036000000000000004,1,0
Diaphus theta,2,only trawl,only trawl,only trawl,0,0,1,0
Diaphus theta,9,only trawl,only trawl,only trawl,0,0,1,0
Engraulis mordax,12,only trawl,only trawl,only trawl,0,0.06,1,0
Engraulis mordax,14,only trawl,only trawl,only trawl,0,0.028,1,0
Engraulis mordax,15,only trawl,only trawl,only trawl,0,0.034,1,0
Entosphenus tridentatus,10,only trawl,only trawl,only trawl,0,0.057999999999999996,1,0
Eopsetta jordani,16,only eDNA,only eDNA,only eDNA,4.00503858929263,0,0,1
Gadus/chalcogrammus,1,both eDNA/trawl,only eDNA,both eDNA/trawl,4.05587664672734,0,0,1
Gadus/chalcogrammus,10,both eDNA/trawl,only trawl,both eDNA/trawl,0,36.466,1,0
Gadus/chalcogrammus,11,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1.47910245474711,1.472,1,1
Gadus/chalcogrammus,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.00732408039945875,10.31,1,1
Gadus/chalcogrammus,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,21,45.339,1,1
Gadus/chalcogrammus,15,both eDNA/trawl,only eDNA,both eDNA/trawl,17.215810807337,0,0,1
Gadus/chalcogrammus,16,both eDNA/trawl,only eDNA,both eDNA/trawl,0.951880539572051,0,0,1
Gadus/chalcogrammus,2,both eDNA/trawl,only eDNA,both eDNA/trawl,12.0284214665176,0,0,1
Gadus/chalcogrammus,3,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.0300405233866254,0.558,1,1
Gadus/chalcogrammus,4,both eDNA/trawl,only trawl,both eDNA/trawl,0,47.206,1,0
Gadus/chalcogrammus,6,both eDNA/trawl,only trawl,both eDNA/trawl,0,7.79,1,0
Gadus/chalcogrammus,7,both eDNA/trawl,only trawl,both eDNA/trawl,0,4.46,1,0
Gadus/chalcogrammus,8,both eDNA/trawl,only trawl,both eDNA/trawl,0,11.15,1,0
Gadus/chalcogrammus,9,both eDNA/trawl,only trawl,both eDNA/trawl,0,25.495,1,0
Glyptocephalus zachirus,12,only eDNA,only eDNA,only eDNA,2.02824712474726,0,0,1
Glyptocephalus zachirus,13,only eDNA,only eDNA,only eDNA,0.869452547761368,0,0,1
Glyptocephalus zachirus,14,only eDNA,only eDNA,only eDNA,0.110032955241402,0,0,1
Glyptocephalus zachirus,15,only eDNA,only eDNA,only eDNA,1.21860040014442,0,0,1
Glyptocephalus zachirus,16,only eDNA,only eDNA,only eDNA,0.712406459741369,0,0,1
Hexagrammos decagrammus,15,only eDNA,only eDNA,only eDNA,3,0,0,1
Hippoglossoides elassodon,16,only eDNA,only eDNA,only eDNA,3,0,0,1
Leptoclinus maculatus,14,only eDNA,only eDNA,only eDNA,3,0,0,1
Mallotus villosus,4,only trawl,only trawl,only trawl,0,0,1,0
Merluccius productus,1,both eDNA/trawl,only eDNA,both eDNA/trawl,1.11448640616811,0,0,1
Merluccius productus,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.27776392309302,86.866,1,1
Merluccius productus,11,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,13.8159848117377,20.376,1,1
Merluccius productus,12,both eDNA/trawl,only eDNA,both eDNA/trawl,0.894846187602415,0,0,1
Merluccius productus,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1.81595064686403,24.676000000000002,1,1
Merluccius productus,14,both eDNA/trawl,only eDNA,both eDNA/trawl,2.7736052609695,0,0,1
Merluccius productus,15,both eDNA/trawl,only eDNA,both eDNA/trawl,0.0628964949046053,0,0,1
Merluccius productus,16,both eDNA/trawl,only eDNA,both eDNA/trawl,4.22327213532865,0,0,1
Merluccius productus,2,both eDNA/trawl,only eDNA,both eDNA/trawl,1.63169233711487,0,0,1
Merluccius productus,3,both eDNA/trawl,only eDNA,both eDNA/trawl,4.3037726491415,0,0,1
Merluccius productus,4,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1.93341358300788,0.774,1,1
Merluccius productus,6,both eDNA/trawl,only trawl,both eDNA/trawl,0,13.704,1,0
Merluccius productus,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,4.83664907101568,39.702,1,1
Microstomus pacificus,13,only eDNA,only eDNA,only eDNA,3,0,0,1
Oncorhynchus gorbuscha,1,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.4270173472183,0.152,1,1
Oncorhynchus gorbuscha,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,6,2.76,1,1
Oncorhynchus gorbuscha,14,both eDNA/trawl,only eDNA,both eDNA/trawl,5.51609170252277,0,0,1
Oncorhynchus gorbuscha,15,both eDNA/trawl,only eDNA,both eDNA/trawl,3.05235836907036,0,0,1
Oncorhynchus gorbuscha,16,both eDNA/trawl,only eDNA,both eDNA/trawl,12.2291975969274,0,0,1
Oncorhynchus keta,12,both eDNA/trawl,only trawl,both eDNA/trawl,0,1.338,1,0
Oncorhynchus keta,15,both eDNA/trawl,only eDNA,both eDNA/trawl,3,0,0,1
Oncorhynchus keta,16,both eDNA/trawl,only eDNA,both eDNA/trawl,0.618727901864243,0,0,1
Oncorhynchus keta,8,both eDNA/trawl,only eDNA,both eDNA/trawl,3,0,0,1
Oncorhynchus kisutch,1,both eDNA/trawl,only eDNA,both eDNA/trawl,5.0644826446411,0,0,1
Oncorhynchus kisutch,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.24341235328162,0.344,1,1
Oncorhynchus kisutch,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,4.89298972746037,3.564,1,1
Oncorhynchus kisutch,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.84104150833243,0.852,1,1
Oncorhynchus kisutch,4,both eDNA/trawl,only trawl,both eDNA/trawl,0,3.188,1,0
Oncorhynchus kisutch,7,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.034,1,0
Oncorhynchus nerka,1,both eDNA/trawl,only eDNA,only eDNA,5.92207948771161,0,0,1
Oncorhynchus nerka,10,both eDNA/trawl,only eDNA,both eDNA/trawl,8.23799506082502,0,0,1
Oncorhynchus nerka,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,5.99242404620473,182.836,1,1
Oncorhynchus nerka,13,both eDNA/trawl,only eDNA,both eDNA/trawl,10.6268554271902,0,0,1
Oncorhynchus nerka,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1.8124772200583,0,0,1
Oncorhynchus nerka,15,both eDNA/trawl,only eDNA,both eDNA/trawl,3.15327774533665,0,0,1
Oncorhynchus nerka,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,1.60454681494451,5.452,1,1
Oncorhynchus nerka,7,both eDNA/trawl,only eDNA,only eDNA,1.9123643008133,0,0,1
Oncorhynchus nerka,8,both eDNA/trawl,only trawl,both eDNA/trawl,0,0,1,0
Oncorhynchus nerka,9,both eDNA/trawl,only eDNA,both eDNA/trawl,0.242885099245178,0,0,1
Oncorhynchus tshawytscha,10,both eDNA/trawl,only trawl,both eDNA/trawl,0,16.116,1,0
Oncorhynchus tshawytscha,12,both eDNA/trawl,only trawl,both eDNA/trawl,0,8.722,1,0
Oncorhynchus tshawytscha,13,both eDNA/trawl,only trawl,both eDNA/trawl,0,6.464,1,0
Oncorhynchus tshawytscha,14,both eDNA/trawl,only trawl,both eDNA/trawl,0,6.158,1,0
Oncorhynchus tshawytscha,15,both eDNA/trawl,only trawl,both eDNA/trawl,0,16.94,1,0
Oncorhynchus tshawytscha,16,both eDNA/trawl,only trawl,both eDNA/trawl,0,2.596,1,0
Oncorhynchus tshawytscha,8,both eDNA/trawl,only trawl,both eDNA/trawl,0,9.46,1,0
Oncorhynchus tshawytscha,9,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.88,1,0
Parophrys vetulus,9,only trawl,only trawl,only trawl,0,0.164,1,0
Pholis laeta,14,only eDNA,only eDNA,only eDNA,3,0,0,1
Phytichthys chirus,14,only eDNA,only eDNA,only eDNA,2.40122442952034,0,0,1
Phytichthys chirus,15,only eDNA,only eDNA,only eDNA,12.094354366251,0,0,1
Phytichthys chirus,16,only eDNA,only eDNA,only eDNA,9.74696321339509,0,0,1
Reinhardtius evermanni,6,only eDNA,only eDNA,only eDNA,3,0,0,1
Reinhardtius hippoglossoides,9,only trawl,only trawl,only trawl,0,3.034,1,0
Sebastes alutus,1,only eDNA,only eDNA,only eDNA,1.26084534743058,0,0,1
Sebastes alutus,15,only eDNA,only eDNA,only eDNA,3.41445481144466,0,0,1
Sebastes alutus,16,only eDNA,only eDNA,only eDNA,3.63443733882001,0,0,1
Sebastes alutus,2,only eDNA,only eDNA,only eDNA,6,0,0,1
Sebastes caurinus/maliger,16,only eDNA,only eDNA,only eDNA,0.891886926979565,0,0,1
Sebastes caurinus/maliger,2,only eDNA,only eDNA,only eDNA,3,0,0,1
Sebastes crameri,14,only eDNA,only eDNA,only eDNA,5.2765153179897,0,0,1
Sebastes crameri,16,only eDNA,only eDNA,only eDNA,0.10322989031584,0,0,1
Sebastes crameri,7,only eDNA,only eDNA,only eDNA,3,0,0,1
Sebastes crameri,9,only eDNA,only eDNA,only eDNA,3,0,0,1
Sebastes entomelas,10,both eDNA/trawl,only eDNA,only eDNA,0.69759452819912,0,0,1
Sebastes entomelas,12,both eDNA/trawl,only eDNA,only eDNA,0.169575256632449,0,0,1
Sebastes entomelas,2,both eDNA/trawl,only trawl,only trawl,0,0.878,1,0
Sebastes entomelas,8,both eDNA/trawl,only eDNA,only eDNA,0.0489330666685468,0,0,1
Sebastes flavidus,2,only trawl,only trawl,only trawl,0,10.15,1,0
Sebastes flavidus,5,only trawl,only trawl,only trawl,0,1.246,1,0
Sebastes mystinus,14,only eDNA,only eDNA,only eDNA,3,0,0,1
Sebastes mystinus,15,only eDNA,only eDNA,only eDNA,3,0,0,1
Spirinchus starksi,3,only trawl,only trawl,only trawl,0,0.028,1,0
Squalus suckleyi,1,both eDNA/trawl,only eDNA,both eDNA/trawl,7.88437572565519,0,0,1
Squalus suckleyi,10,both eDNA/trawl,only trawl,both eDNA/trawl,0,9.54,1,0
Squalus suckleyi,11,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.16322092861017,4.376,1,1
Squalus suckleyi,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,5.63627015166444,43.49,1,1
Squalus suckleyi,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,26.7988178884982,17.998,1,1
Squalus suckleyi,14,both eDNA/trawl,only eDNA,both eDNA/trawl,0.028710905371326,0,0,1
Squalus suckleyi,15,both eDNA/trawl,only eDNA,both eDNA/trawl,2.6255259519561,0,0,1
Squalus suckleyi,16,both eDNA/trawl,only eDNA,both eDNA/trawl,1.15053449829406,0,0,1
Squalus suckleyi,2,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.482168279642491,1.718,1,1
Squalus suckleyi,3,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.806,1,0
Squalus suckleyi,4,both eDNA/trawl,only trawl,both eDNA/trawl,0,7.882,1,0
Squalus suckleyi,6,both eDNA/trawl,only trawl,both eDNA/trawl,0,11.378,1,0
Squalus suckleyi,7,both eDNA/trawl,only trawl,both eDNA/trawl,0,7.343999999999999,1,0
Squalus suckleyi,9,both eDNA/trawl,only trawl,both eDNA/trawl,0,15.92,1,0
Thaleichthys pacificus,1,both eDNA/trawl,only eDNA,both eDNA/trawl,4.19950020824656,0,0,1
Thaleichthys pacificus,10,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,9.65222141296431,0.057999999999999996,1,1
Thaleichthys pacificus,12,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,8.27312776538787,0.34,1,1
Thaleichthys pacificus,13,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.997239094422971,0.06,1,1
Thaleichthys pacificus,14,both eDNA/trawl,only eDNA,both eDNA/trawl,1.52964401629557,0,0,1
Thaleichthys pacificus,15,both eDNA/trawl,only eDNA,both eDNA/trawl,2.29697715180695,0,0,1
Thaleichthys pacificus,16,both eDNA/trawl,only eDNA,both eDNA/trawl,10.8602232171098,0,0,1
Thaleichthys pacificus,2,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.18,1,0
Thaleichthys pacificus,3,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.044,1,0
Thaleichthys pacificus,4,both eDNA/trawl,only trawl,both eDNA/trawl,0,3.05,1,0
Thaleichthys pacificus,5,both eDNA/trawl,only trawl,both eDNA/trawl,0,0.052,1,0
Thaleichthys pacificus,6,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.0318550905683948,0.805,1,1
Thaleichthys pacificus,7,both eDNA/trawl,only trawl,both eDNA/trawl,0,1.52,1,0
Thaleichthys pacificus,8,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,2.51722734451176,0.681,1,1
Thaleichthys pacificus,9,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl,0.801346058365974,1.584,1,1
Xiphister atropurpureus/mucosus,15,only eDNA,only eDNA,only eDNA,3,0,0,1
Xiphister atropurpureus/mucosus,16,only eDNA,only eDNA,only eDNA,0.585062661794669,0,0,1
Zoarcidae sp,6,only trawl,only trawl,only trawl,0,0.07,1,0
