original_sample_name,ASV1,ASV105,ASV11,ASV12,ASV120,ASV13,ASV136,ASV137,ASV14,ASV15,ASV16,ASV17,ASV18,ASV19,ASV2,ASV20,ASV207,ASV212,ASV23,ASV26,ASV27,ASV28,ASV29,ASV3,ASV32,ASV34,ASV37,ASV378,ASV4,ASV41,ASV433,ASV47,ASV5,ASV52,ASV542,ASV57,ASV592,ASV6,ASV638,ASV64,ASV7,ASV8,ASV81,ASV83,ASV88,ASV9,ASV96
E001,20065,0,0,0,0,0,0,0,0,0,0,0,0,0,14764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39874,0,4120,0,0,0
E002,63128,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,8995,0,0,0,0,0,0,0,0,0,0,0,0,0,36887,0,0,0,17184,0,0,0,0,0
E003,42090,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96145,23,0,0,0,0,0,0,0,0
E004,29077,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,50970,0,0,0,0,9331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E005,42932,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,6618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E006,62379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10315,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0
E007,44536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E008,13917,2549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E011,38339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E014,0,0,0,0,0,0,0,0,0,0,0,76060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E017,112262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26445,0,0,0,0,0,0,0,24712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E018,140764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,27562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E019,51461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9818,0,0,0,0,2896,0,0,0,0,0,0,0,0,0,0,0,7365,0,0,0,0,0,0
E020,74665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E022,56428,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E023,0,0,0,0,595,0,0,0,0,1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E024,0,0,0,0,0,0,0,0,0,0,0,0,68195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6196,0,0,0,0,0
E025,58067,0,0,0,0,0,0,0,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2088,0,1515
E026,0,0,0,0,0,0,3059,1085,0,0,0,0,0,0,0,0,0,0,0,0,4302,0,10420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2831,0,0
E027,0,0,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,7371,0,15878,10285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9463,0,0,0,0
E028,47630,0,0,0,0,0,0,0,0,0,0,0,0,9573,15937,14962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
E029,2647,0,0,0,0,0,0,0,0,5206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9082,0,0,0,0,0,0,0,0,0,0,0
E032,17946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E033,4713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,1592,0,0,0,0,4078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E038,0,0,0,0,0,16117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,117346,0,0,0,0,8679,0,0,0,0,0,0,0,0,0,0,0,0,0
E039,34793,0,0,0,0,0,0,0,0,10420,0,0,0,0,0,0,0,0,0,0,0,0,882,4126,5877,0,0,0,16027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E042,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14136,27849,0,0,46035,0,0,0,30,0,0,0,0,0,0,0,0,0,0
E044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E046,0,0,71204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25464,0,0,0,2774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E047,6674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150127,25972,0,0,0,25186,0
E049,53957,0,0,0,0,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,15564,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,0,26802,10423,0,0,0,0,360
E050,0,0,0,0,0,0,0,0,0,511,0,0,0,0,27837,0,0,0,0,0,167,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,13730,0,1101,0,5948,0,3461,0,0,0
E051,0,0,0,0,0,0,0,0,0,132,1480,0,0,0,3012,0,0,930,0,0,2314,0,0,0,0,0,0,0,834,0,0,0,41606,0,0,0,0,8536,0,0,0,1890,0,0,0,0,0
E052,4759,0,0,4216,0,0,0,0,0,827,0,0,0,0,6843,0,619,0,0,0,0,0,0,0,0,0,2863,0,1089,0,0,0,0,0,0,0,0,14143,0,1231,1103,3051,0,0,0,0,0
E054,103212,0,0,1815,0,0,0,0,13002,848,0,0,0,1081,0,0,0,0,0,0,165,1495,0,16664,0,0,1291,611,534,0,451,0,0,0,0,0,0,24762,0,1512,0,5619,0,153,0,15316,0
E056,112232,0,0,0,0,0,0,0,9535,835,0,0,0,0,0,0,0,0,0,0,0,0,0,14704,0,0,0,0,843,0,0,0,0,0,0,0,0,31850,0,0,0,5633,0,572,0,8954,0
E057,75175,0,0,1634,0,0,0,0,7174,796,0,0,0,0,0,0,0,0,0,1837,0,0,0,13263,0,0,955,0,0,0,0,0,0,0,0,0,0,16560,0,0,2012,4701,0,0,0,18144,0
