kingdom,phylum,class,order,family,genus,LCT,environment,depth_range_min,depth_range_max,max_length_cm,common_length_cm,in_range,habitat
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,bathydemersal,175,2740,120,80,y,bathydemersal
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Rhinoliparis,Rhinoliparis barbulifer,bathydemersal,28,2189,8.8,,y,bathydemersal
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes alutus,bathydemersal,0,825,53,NA,y,bathydemersal
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes crameri,bathydemersal,25,600,58,NA,y,bathydemersal
Animalia,Chordata,Teleostei,Gadiformes,Macrourinae,Coryphaenoides,Corphaenidoes sp,bathydemersal,300,3700,104,46.9,y,bathydemersal
Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,Diaphus theta,bathypelagic,10,3400,11.4,NA,y,bathypelagic
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,Gadus/chalcogrammus,benthopelagic,NA,1280,91,NA,y,benthopelagic
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Lipariscus,Lipariscus nanus,benthopelagic,0,910,6.3,,y,benthopelagic
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,benthopelagic,0,250,100,58,y,benthopelagic
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,benthopelagic,0,375,150,70,y,benthopelagic
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Reinhardtius,Reinhardtius hippoglossoides,benthopelagic,1,2200,110,56,y,benthopelagic
Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Spirinchus,Spirinchus starksi,benthopelagic,NA,128,23,NA,y,benthopelagic
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus acanthias,benthopelagic,0,1460,160,100,n,benthopelagic
Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,Squalus suckleyi,benthopelagic,15,1244,140,NA,y,benthopelagic
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,Gadus chalcogrammus,benthopelagic,NA,1280,91,NA,y,benthopelagic
Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Allosmerus,Allosmerus elongatus,demersal,1,103,22.9,NA,y,demersal
Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Beringraja,Beringraja binoculata,demersal,3,800,244,180,y,demersal
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus acuticeps,demersal,0,20,6.4,4.4,y,demersal
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster,Cymatogaster aggregata,demersal,1,146,20.3,11.5,y,demersal
Animalia,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Entosphenus,Entosphenus tridentatus,demersal,0,1508,76,41,y,demersal
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Eopsetta,Eopsetta jordani,demersal,0,550,53,42.5,y,demersal
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,demersal,0,900,60,36,y,demersal
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,demersal,0,46,61,NA,y,demersal
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossoides,Hippoglossoides elassodon,demersal,0,1050,52,NA,y,demersal
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Leptoclinus,Leptoclinus maculatus,demersal,2,607,20,NA,y,demersal
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,demersal,10,1370,6,NA,y,demersal
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,demersal,0,250,76,,y,demersal
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,Parophrys vetulus,demersal,0,550,49,33,y,demersal
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Phytichthys,Phytichthys chirus,demersal,0,12,20,NA,y,demersal
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,Scophthalmus maximus,demersal,20,70,100,70,n,demersal
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes caurinus,demersal,10,183,58,NA,y,demersal
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes maliger,demersal,0,274,61,NA,y,demersal
Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Citharichthys,Citharichthys stigmaeus,demersal,NA,549,17,NA,y,demersal
Animalia,Chordata,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,Cryptacanthodes giganteus,demersal,6,128,117,NA,y,demersal
Animalia,Chordata,Teleostei,Perciformes,Pholidae,Pholis,Pholis laeta,demersal,0,73,25,NA,y,demersal
Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,Sebastes caurinus/maliger,demersal,5,228.5,59.5,NA,y,demersal
Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Xiphister,Xiphister atropurpureus/mucosus,demersal,4,15,44.25,NA,y,demersal
Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,Sebastes caurinus,demersal,10,183,58,NA,y,demersal
Animalia,Chordata,Teleostei,Scorpaeniformes,Scorpaenidae,Sebastes,Sebastes maliger,demersal,0,274,61,NA,y,demersal
Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Xiphister,Xiphister atropurpureus,demersal,8,12,30.5,NA,y,demersal
Animalia,Chordata,Teleostei,Perciformes,Stichaeidae,Xiphister,Xiphister mucosus,demersal,0,18,58,NA,y,demersal
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,pelagic_neritic,0,250,76,50,n,pelagic
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,pelagic_neritic,0,475,46,25,y,pelagic
Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,pelagic_neritic,0,310,24.8,15,y,pelagic
Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,pelagic_oceanic,0,725,20,15,y,pelagic
Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,pelagic_neritic,0,1000,91,NA,y,pelagic
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,pelagic,0,250,108,71,y,pelagic
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,pelagic_oceanic,0,250,84,45,y,pelagic
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes entomelas,pelagic_neritic,0,549,60,NA,y,pelagic
Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,Thaleichthys pacificus,pelagic_neritic,0,300,34,20,y,pelagic
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes flavidus,reef_associated,0,549,66,NA,y,reef_associated
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,reef_associated,0,550,61,NA,y,reef_associated