set_number,common_name,leg.x,location,date.x,size_class,number_retained_for_isotopes_and_other_analyses,fa_sample,comments,processed,individs_caught,species,kingdom,phylum,class,order,family,genus,level,LCT,area,line,net_tow,date.y,time_in_water_gmt,start_latitude_n,start_longitude_w,time_door_in,lat_door_in_deg,lat_door_in_min,long_door_in_deg,long_door_in_min,time_door_out,lat_door_out_deg,lat_door_out_min,long_door_out_deg,long_door_out_min,time_out_of_water_gmt,end_latitude_n,end_longitude_w,bottom_depth_m,depth_range_targeted_m,depth_mean,time_target_depth_start_gmt,time_target_depth_stop_gmt,average_wire_out,vessel_tow_speed_knots,codend_fullness,fraction_processed,notes,north_south,lat_door_in_dd,long_door_in_dd,lat_door_out_dd,long_door_out_dd,duration_minutes
1,Pink Salmon,1,Johnston Strait,2018-08-01T00:00:00Z,NA,3,1,"For Leg 1, ""FA samples"" are also included in ""Number retained""; for Leg 2, ""Number retained"" represents the samples collected and put in the freezer -- if ""FA Sample"" is not included in the number, it is indicated in the comments",Y,3,Oncorhynchus gorbuscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus gorbuscha,JS,-,1,18-08-01,17:02,50 32.558 ,126 44.733,17:11,50,32.585,126,44.657,17:36,50,32.412,126,43.095,17:46,50 32.680,126 42.608,442,50,50,17:14,17:34,,3,almost 0 (very small),"Counted all, measured all (exept jellyfish )",,northern,50.543083333333335,-126.74428333333333,50.5402,-126.71825,25
1,Pacific Herring,1,Johnston Strait,2018-08-01T00:00:00Z,NA,1,0,NA,Y,1,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii,JS,-,1,18-08-01,17:02,50 32.558 ,126 44.733,17:11,50,32.585,126,44.657,17:36,50,32.412,126,43.095,17:46,50 32.680,126 42.608,442,50,50,17:14,17:34,,3,almost 0 (very small),"Counted all, measured all (exept jellyfish )",,northern,50.543083333333335,-126.74428333333333,50.5402,-126.71825,25
2,Spiny Dogfish,1,Johnston Strait,2018-08-01T00:00:00Z,NA,1,1,tag in mouth,Y,1,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi,JS,-,2,18-08-02,0:14,50 29.629,126 29.957,0:22,50,29.627,126,30.214,0:57,50,29.883,126,32.521,1:11,50 30.088,126 33.240,382,120,120,0:28,0:52,,2.7-3.3,-,-,,northern,50.49378333333333,-126.50356666666667,50.49805,-126.54201666666667,35
2,Myctophid (Diaphus theta),1,Johnston Strait,2018-08-01T00:00:00Z,NA,1,NA,to ID,Y,NA,Diaphus theta,Animalia ,Chordata,Teleostei,Myctophiformes<ca>,Myctophidae<ca>,Diaphys,species,Diaphus theta,JS,-,2,18-08-02,0:14,50 29.629,126 29.957,0:22,50,29.627,126,30.214,0:57,50,29.883,126,32.521,1:11,50 30.088,126 33.240,382,120,120,0:28,0:52,,2.7-3.3,-,-,,northern,50.49378333333333,-126.50356666666667,50.49805,-126.54201666666667,35
2,Eulachon,1,Johnston Strait,2018-08-01T00:00:00Z,NA,5,5,confirm eulachon IDs,Y,10,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus,JS,-,2,18-08-02,0:14,50 29.629,126 29.957,0:22,50,29.627,126,30.214,0:57,50,29.883,126,32.521,1:11,50 30.088,126 33.240,382,120,120,0:28,0:52,,2.7-3.3,-,-,,northern,50.49378333333333,-126.50356666666667,50.49805,-126.54201666666667,35
2,Pacific Herring,1,Johnston Strait,2018-08-01T00:00:00Z,NA,3,1,NA,Y,3,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii,JS,-,2,18-08-02,0:14,50 29.629,126 29.957,0:22,50,29.627,126,30.214,0:57,50,29.883,126,32.521,1:11,50 30.088,126 33.240,382,120,120,0:28,0:52,,2.7-3.3,-,-,,northern,50.49378333333333,-126.50356666666667,50.49805,-126.54201666666667,35
2,Myctophiid sp,NA,NA,NA,NA,NA,NA,NA,NA,1,Diaphus theta,Animalia ,Chordata,Teleostei,Myctophiformes ,Myctophidae ,Diaphys,species,Diaphus theta,JS,-,2,18-08-02,0:14,50 29.629,126 29.957,0:22,50,29.627,126,30.214,0:57,50,29.883,126,32.521,1:11,50 30.088,126 33.240,382,120,120,0:28,0:52,,2.7-3.3,-,-,,northern,50.49378333333333,-126.50356666666667,50.49805,-126.54201666666667,35
2,Widow Rockfish,1,Johnston Strait,2018-08-01T00:00:00Z,NA,1,1,tag in mouth,Y,1,Sebastes entomelas,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,species,Sebastes entomelas,JS,-,2,18-08-02,0:14,50 29.629,126 29.957,0:22,50,29.627,126,30.214,0:57,50,29.883,126,32.521,1:11,50 30.088,126 33.240,382,120,120,0:28,0:52,,2.7-3.3,-,-,,northern,50.49378333333333,-126.50356666666667,50.49805,-126.54201666666667,35
2,Yellowtail Rockfish,1,Johnston Strait,2018-08-01T00:00:00Z,NA,9,5,tags in mouths of FA fish,Y,9,Sebastes flavidus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,species,Sebastes flavidus,JS,-,2,18-08-02,0:14,50 29.629,126 29.957,0:22,50,29.627,126,30.214,0:57,50,29.883,126,32.521,1:11,50 30.088,126 33.240,382,120,120,0:28,0:52,,2.7-3.3,-,-,,northern,50.49378333333333,-126.50356666666667,50.49805,-126.54201666666667,35
3,Osmeridae (Whitebait smelt),1,Johnston Strait,2018-08-02T00:00:00Z,NA,2,0,to ID,Y,NA,Allosmerus elongatus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Allosmerus,species,Allosmerus elongatus,MI,M1,3,18-08-02,15:30,50 41.229,126 52.860,15:39,50,41.253,126,52.961,15:53,50,41.965,126,53.297,16:01,50 42.246,126 53.192,193,100-120,110,15:43,15:50,,3.7-3.9,2 baskets full,-,,northern,50.68755,-126.88268333333333,50.699416666666664,-126.88828333333333,14
3,Eulachon,1,Johnston Strait,2018-08-02T00:00:00Z,NA,7,0,NA,Y,6,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus,MI,M1,3,18-08-02,15:30,50 41.229,126 52.860,15:39,50,41.253,126,52.961,15:53,50,41.965,126,53.297,16:01,50 42.246,126 53.192,193,100-120,110,15:43,15:50,,3.7-3.9,2 baskets full,-,,northern,50.68755,-126.88268333333333,50.699416666666664,-126.88828333333333,14
3,Walleye Pollock,1,Johnston Strait,2018-08-02T00:00:00Z,NA,1,1,NA,Y,1,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus,MI,M1,3,18-08-02,15:30,50 41.229,126 52.860,15:39,50,41.253,126,52.961,15:53,50,41.965,126,53.297,16:01,50 42.246,126 53.192,193,100-120,110,15:43,15:50,,3.7-3.9,2 baskets full,-,,northern,50.68755,-126.88268333333333,50.699416666666664,-126.88828333333333,14
3,Spiny Dogfish,1,Johnston Strait,2018-08-02T00:00:00Z,NA,1,1,NA,Y,2,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi,MI,M1,3,18-08-02,15:30,50 41.229,126 52.860,15:39,50,41.253,126,52.961,15:53,50,41.965,126,53.297,16:01,50 42.246,126 53.192,193,100-120,110,15:43,15:50,,3.7-3.9,2 baskets full,-,,northern,50.68755,-126.88268333333333,50.699416666666664,-126.88828333333333,14
3,Pacific Herring,1,Johnston Strait,2018-08-02T00:00:00Z,NA,100,2,NA,?,102,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii,MI,M1,3,18-08-02,15:30,50 41.229,126 52.860,15:39,50,41.253,126,52.961,15:53,50,41.965,126,53.297,16:01,50 42.246,126 53.192,193,100-120,110,15:43,15:50,,3.7-3.9,2 baskets full,-,,northern,50.68755,-126.88268333333333,50.699416666666664,-126.88828333333333,14
3,Night Smelt,NA,NA,NA,NA,NA,NA,NA,NA,1,Spirinchus starksi,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Spirinchus,species,Spirinchus starksi,MI,M1,3,18-08-02,15:30,50 41.229,126 52.860,15:39,50,41.253,126,52.961,15:53,50,41.965,126,53.297,16:01,50 42.246,126 53.192,193,100-120,110,15:43,15:50,,3.7-3.9,2 baskets full,-,,northern,50.68755,-126.88268333333333,50.699416666666664,-126.88828333333333,14
4,Eulachon,1,Johnston Strait,2018-08-02T00:00:00Z,NA,36,0,NA,Y,101,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus,MI,M2,4,18-08-02,17:23,50 41.023,126 56.259,17:33,50,40.967,126,56.403,18:04,50,41.741,126,58.626,18:10,50 41.748,126 58.931,165,130-140,135,17:40,18:00,,~3.2,4 baskets,-,,northern,50.68278333333333,-126.94005,50.695683333333335,-126.9771,31
4,Capelin,NA,NA,NA,NA,NA,NA,NA,NA,1,Mallotus villosus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,species,Mallotus villosus,MI,M2,4,18-08-02,17:23,50 41.023,126 56.259,17:33,50,40.967,126,56.403,18:04,50,41.741,126,58.626,18:10,50 41.748,126 58.931,165,130-140,135,17:40,18:00,,~3.2,4 baskets,-,,northern,50.68278333333333,-126.94005,50.695683333333335,-126.9771,31
4,Pacific Herring,NA,NA,NA,NA,NA,NA,NA,NA,9,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii,MI,M2,4,18-08-02,17:23,50 41.023,126 56.259,17:33,50,40.967,126,56.403,18:04,50,41.741,126,58.626,18:10,50 41.748,126 58.931,165,130-140,135,17:40,18:00,,~3.2,4 baskets,-,,northern,50.68278333333333,-126.94005,50.695683333333335,-126.9771,31
4,Pacific Pacific Hake,NA,NA,NA,NA,NA,NA,NA,NA,1,Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,Merluccius productus,MI,M2,4,18-08-02,17:23,50 41.023,126 56.259,17:33,50,40.967,126,56.403,18:04,50,41.741,126,58.626,18:10,50 41.748,126 58.931,165,130-140,135,17:40,18:00,,~3.2,4 baskets,-,,northern,50.68278333333333,-126.94005,50.695683333333335,-126.9771,31
4,Spiny Dogfish,1,Johnston Strait,2018-08-02T00:00:00Z,NA,5,2,NA,Y,11,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi,MI,M2,4,18-08-02,17:23,50 41.023,126 56.259,17:33,50,40.967,126,56.403,18:04,50,41.741,126,58.626,18:10,50 41.748,126 58.931,165,130-140,135,17:40,18:00,,~3.2,4 baskets,-,,northern,50.68278333333333,-126.94005,50.695683333333335,-126.9771,31
4,Coho Salmon,1,Johnston Strait,2018-08-02T00:00:00Z,NA,1,1,NA,Y,1,Oncorhynchus kisutch,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus kisutch,MI,M2,4,18-08-02,17:23,50 41.023,126 56.259,17:33,50,40.967,126,56.403,18:04,50,41.741,126,58.626,18:10,50 41.748,126 58.931,165,130-140,135,17:40,18:00,,~3.2,4 baskets,-,,northern,50.68278333333333,-126.94005,50.695683333333335,-126.9771,31
4,Walleye Pollock,1,Johnston Strait,2018-08-02T00:00:00Z,NA,11,4,NA,Y,100,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus,MI,M2,4,18-08-02,17:23,50 41.023,126 56.259,17:33,50,40.967,126,56.403,18:04,50,41.741,126,58.626,18:10,50 41.748,126 58.931,165,130-140,135,17:40,18:00,,~3.2,4 baskets,-,,northern,50.68278333333333,-126.94005,50.695683333333335,-126.9771,31
4,Pacific Hake (Whiting),1,Johnston Strait,2018-08-02T00:00:00Z,NA,1,1,NA,Y,NA,Merluccius productus,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,Merluccius,species,Merluccius productus,MI,M2,4,18-08-02,17:23,50 41.023,126 56.259,17:33,50,40.967,126,56.403,18:04,50,41.741,126,58.626,18:10,50 41.748,126 58.931,165,130-140,135,17:40,18:00,,~3.2,4 baskets,-,,northern,50.68278333333333,-126.94005,50.695683333333335,-126.9771,31
5,Pacific Herring,NA,NA,NA,NA,NA,NA,NA,NA,3,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii,JS,-,5,18-08-03,16:07,50 32.130,126 40.264,16:16,50,32.202,126,40.396,16:48,50,31.462,126,38.241,17:05,50 30.993,126 37.756,408,100,100,16:22,16:43,,3,almost 0,-,,northern,50.5367,-126.67326666666666,50.524366666666666,-126.63735,32
5,Yellowtail Rockfish,1,Johnston Strait,2018-08-03T00:00:00Z,NA,1,0,NA,Y,1,Sebastes flavidus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,species,Sebastes flavidus,JS,-,5,18-08-03,16:07,50 32.130,126 40.264,16:16,50,32.202,126,40.396,16:48,50,31.462,126,38.241,17:05,50 30.993,126 37.756,408,100,100,16:22,16:43,,3,almost 0,-,,northern,50.5367,-126.67326666666666,50.524366666666666,-126.63735,32
5,Eulachon,NA,NA,NA,NA,NA,NA,NA,NA,2,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus,JS,-,5,18-08-03,16:07,50 32.130,126 40.264,16:16,50,32.202,126,40.396,16:48,50,31.462,126,38.241,17:05,50 30.993,126 37.756,408,100,100,16:22,16:43,,3,almost 0,-,,northern,50.5367,-126.67326666666666,50.524366666666666,-126.63735,32
7,Spiny Dogfish,NA,NA,NA,NA,NA,NA,NA,NA,5,Squalus suckleyi,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,species,Squalus suckleyi,JS,J24,7,18-08-04,21:45,50 29.342,126 15.979,21:55,50,29.25,126,16.147,22:30,50,29.23,126,19.043,22:37,50 29.177,126 19.534,371,160,160,22:03,22:23,,~3.5,-,-,,northern,50.4875,-126.26911666666666,50.48716666666667,-126.31738333333334,35
7,Sablefish,1,Johnston Strait,2018-08-04T00:00:00Z,NA,1,1,NA,Y,1,Anoplopoma fimbria,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,species,Anoplopoma fimbria,JS,J24,7,18-08-04,21:45,50 29.342,126 15.979,21:55,50,29.25,126,16.147,22:30,50,29.23,126,19.043,22:37,50 29.177,126 19.534,371,160,160,22:03,22:23,,~3.5,-,-,,northern,50.4875,-126.26911666666666,50.48716666666667,-126.31738333333334,35
7,Walleye Pollock,NA,NA,NA,NA,NA,NA,NA,NA,7,Gadus/chalcogrammus,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae ,Gadus,species,Gadus/chalcogrammus,JS,J24,7,18-08-04,21:45,50 29.342,126 15.979,21:55,50,29.25,126,16.147,22:30,50,29.23,126,19.043,22:37,50 29.177,126 19.534,371,160,160,22:03,22:23,,~3.5,-,-,,northern,50.4875,-126.26911666666666,50.48716666666667,-126.31738333333334,35
7,Eulachon,NA,NA,NA,NA,NA,NA,NA,NA,101,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus,JS,J24,7,18-08-04,21:45,50 29.342,126 15.979,21:55,50,29.25,126,16.147,22:30,50,29.23,126,19.043,22:37,50 29.177,126 19.534,371,160,160,22:03,22:23,,~3.5,-,-,,northern,50.4875,-126.26911666666666,50.48716666666667,-126.31738333333334,35
7,Corphaenidoes sp,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Animalia ,Chordata,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,genus,Corphaenidoes sp,JS,J24,7,18-08-04,21:45,50 29.342,126 15.979,21:55,50,29.25,126,16.147,22:30,50,29.23,126,19.043,22:37,50 29.177,126 19.534,371,160,160,22:03,22:23,,~3.5,-,-,,northern,50.4875,-126.26911666666666,50.48716666666667,-126.31738333333334,35
7,Coho Salmon,1,Johnston Strait,2018-08-04T00:00:00Z,NA,1,1,NA,Y,1,Oncorhynchus kisutch,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus kisutch,JS,J24,7,18-08-04,21:45,50 29.342,126 15.979,21:55,50,29.25,126,16.147,22:30,50,29.23,126,19.043,22:37,50 29.177,126 19.534,371,160,160,22:03,22:23,,~3.5,-,-,,northern,50.4875,-126.26911666666666,50.48716666666667,-126.31738333333334,35
8,Eulachon,2,Juan de Fuca Strait,2018-08-08T00:00:00Z,NA,10,5,samples taken for isotopes and FA from different individuals,Y,42,Thaleichthys pacificus,Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Thaleichthys,species,Thaleichthys pacificus,JF,F4,8,18-08-08,16:25,48 17.344,123 45.230,16:37,48,17.535,123,45.101,16:55,48,17.236,123,43.965,16:59,48 17.206,123 43.833,174,60,60,16:41,16:55,120 fm,3.2-5.4,big catch (3000 lbs),3 baskets subsampled,Ben added CTD onto trawl net.,southern,48.29225,-123.75168333333333,48.28726666666667,-123.73275,18
8,Chinook Salmon,2,Juan de Fuca Strait,2018-08-08T00:00:00Z,NA,2,2,scales taken on left side behind dorsal fin (took where could find any scales),Y,2,Oncorhynchus tshawytscha,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus tshawytscha,JF,F4,8,18-08-08,16:25,48 17.344,123 45.230,16:37,48,17.535,123,45.101,16:55,48,17.236,123,43.965,16:59,48 17.206,123 43.833,174,60,60,16:41,16:55,120 fm,3.2-5.4,big catch (3000 lbs),3 baskets subsampled,Ben added CTD onto trawl net.,southern,48.29225,-123.75168333333333,48.28726666666667,-123.73275,18
8,Sockeye Salmon,NA,NA,NA,NA,NA,NA,NA,NA,1,Oncorhynchus nerka,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,Oncorhynchus nerka,JF,F4,8,18-08-08,16:25,48 17.344,123 45.230,16:37,48,17.535,123,45.101,16:55,48,17.236,123,43.965,16:59,48 17.206,123 43.833,174,60,60,16:41,16:55,120 fm,3.2-5.4,big catch (3000 lbs),3 baskets subsampled,Ben added CTD onto trawl net.,southern,48.29225,-123.75168333333333,48.28726666666667,-123.73275,18
8,Pacific Herring,2,Juan de Fuca Strait,2018-08-08T00:00:00Z,NA,10,5,samples taken for isotopes and FA from different individuals,? (we have 2),100,Clupea pallasii,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,species,Clupea pallasii,JF,F4,8,18-08-08,16:25,48 17.344,123 45.230,16:37,48,17.535,123,45.101,16:55,48,17.236,123,43.965,16:59,48 17.206,123 43.833,174,60,60,16:41,16:55,120 fm,3.2-5.4,big catch (3000 lbs),3 baskets subsampled,Ben added CTD onto trawl net.,southern,48.29225,-123.75168333333333,48.28726666666667,-123.73275,18
